Name,RA,DEC,Vmag,Sp.Type,dist (pc),ObsDate
"HIP21421","4 35 55.3 ","16 30 30 ","0.87","K5III","19.9",""
"HIP21433","4 36 7.25 ","55 24 39 ","8.32","K2V","29.2",""
"HIP21459","4 36 29.2 ","23 20 26 ","6.01","F5IV","44.2",""
"HIP21482","4 36 48.5 ","27 7 53 ","8.10","K2","17.8",""
"HIP21547","4 37 36.1 ","-2 28 25 ","5.22","F0V","29.7","02/27/2016"
"HIP21553","4 37 41.4 ","52 53 29 ","8.62","K8V","10.1","04/23/2016"
"HIP21556","4 37 41.6 ","-11 2 23 ","10.3","M1","11.0","06/04/2016"
"HIP21571","4 37 52.3 ","60 40 34 ","7.76","G5","29.5",""
"HIP21589","4 38 9.57 ","12 30 38 ","4.27","A6V","45.8",""
"HIP21588","4 38 9.57 ","16 1 59 ","5.78","F0V","45.5",""
"HIP21594","4 38 10.7 ","-14 18 17 ","3.86","K1III","33.5","06/02/2016"
"HIP21673","4 39 9.25 ","15 47 58 ","5.08","A4m","46.5",""
